Hour,Actual Power (MW),Forecasted Power (MW),Absolute Error,Error (%)
1,79.3909235325097,82.28008411270815,2.8891605801984497,3.6391572885726293
2,75.7488538941698,72.54905255644857,3.199801337721226,4.22422409478529
3,58.4811831438266,56.829875527424434,1.651307616402164,2.823656307262107
4,37.323335664396,35.93693774858582,1.3863979158101785,3.71456058557143
5,53.7995242905368,51.279900179302714,2.519624111234087,4.68335760299145
6,39.27921598591,41.565123469969805,2.2859074840598055,5.819636229195084
7,65.5380438067117,67.32897354785729,1.7909297411455896,2.73265669391582
8,46.2236784169494,44.02326495136176,2.200413465587637,4.760359930119246
9,49.5914165091041,47.88269436004992,1.7087221490541822,3.4456006086063127
10,24.6912421110795,24.39567792919631,0.29556418188319,1.1970405561353428
11,66.3992419729424,68.7370289274945,2.337786954552101,3.520803679513006
12,50.9485050981205,49.30091315110092,1.6475919470195777,3.233837663826485
13,78.2604660398698,77.20934103347108,1.0511250063987205,1.3431111001348048
14,75.2514525974082,71.94455209582259,3.3069005015856163,4.394467332447895
15,87.0210529496577,86.84428859931224,0.176764350345465,0.20312825960371272
16,87.2936577827277,87.77730658158765,0.4836487988599458,0.5540480387060177
17,81.9152701874347,80.68092943054464,1.234340756890063,1.506850620239306
18,84.0559627720652,82.27489316893079,1.7810696031344122,2.118909288998502
19,61.7910763466204,59.243993764731776,2.547082581888624,4.122088062685016
20,48.9523168173224,47.41945456921444,1.5328622481079606,3.1313374887407535
21,46.2250813713556,45.09841326853129,1.1266681028243113,2.4373523407629443
22,36.9201481519853,42.20091765602995,5.280769504044649,14.303218617395194
23,24.8301345972873,28.235496465162043,3.405361867874742,13.714633138745766
24,34.0322204667306,36.25975008053859,2.227529613807988,6.545354911489213
